id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
1,SK에너지,(주)보성 세곡주유소,서울,강남구,서울 강남구  헌릉로 731 (세곡동),1655,1553,1,1,0,0,0,0,37.46715650000000,127.11870810000000
2,현대오일뱅크,HD현대오일뱅크㈜직영 산성셀프주유소,서울,강남구,서울 강남구 헌릉로 730,1665,1565,1,1,0,0,0,0,37.46656750000000,127.11908030000000
3,GS칼텍스,방죽주유소,서울,강남구,서울 강남구 밤고개로 215 (율현동),1687,1589,1,1,0,0,0,0,37.47499260000000,127.10688660000000
4,SK에너지,오일프러스 셀프,서울,강남구,서울 강남구 남부순환로 2651 (도곡동),1688,1595,1,1,0,1,0,1,37.48583900000000,127.03967210000000
5,현대오일뱅크,HD현대오일뱅크㈜직영 도곡셀프주유소,서울,강남구,서울 강남구  남부순환로 2718 (도곡2동),1689,1589,1,1,0,1,0,0,37.48546230000000,127.04321810000000
6,SK에너지,자곡셀프주유소,서울,강남구,서울 강남구 밤고개로 120 (자곡동),1698,1597,1,1,0,0,0,0,37.48340020000000,127.10404580000000
7,현대오일뱅크,HD현대오일뱅크㈜직영 유진주유소,서울,강남구,서울 강남구 논현로 152 (도곡동),1699,1604,1,0,0,1,0,0,37.48743160000000,127.03999760000000
8,S-OIL,극동유화㈜ 개나리주유소,서울,강남구,서울 강남구 언주로 423 (역삼동),1708,1595,1,1,0,1,0,1,37.50007760000000,127.03854190000000
9,현대오일뱅크,삼성동주유소,서울,강남구,서울 강남구 테헤란로 619 (삼성동),1725,1625,1,1,0,0,0,0,37.50985760000000,127.06511010000000
10,SK에너지,(주)중앙에너비스 수서지점,서울,강남구,서울 강남구 광평로 202 (수서동),1727,1627,1,1,0,0,0,0,37.48410530000000,127.09504010000000
11,SK에너지,SK서광주유소,서울,강남구,서울 강남구 역삼로 142,1735,1615,1,1,0,1,0,1,37.49434240000000,127.03509150000000
12,S-OIL,(주)선진도곡주유소,서울,강남구,서울 강남구 도곡로 162 (도곡동),1739,1635,1,0,0,1,0,0,37.48782540000000,127.04668760000000
13,SK에너지,대교셀프주유소,서울,강남구,서울 강남구 강남대로 640 (신사동),1740,1680,0,1,0,0,0,1,37.52812920000000,127.03555370000000
14,SK에너지,SK에너지㈜ 진달래주유소,서울,강남구,서울 강남구 도곡로 208,1759,1665,1,0,0,0,0,0,37.49229500000000,127.04185980000000
15,GS칼텍스,지에스칼텍스㈜에너지플러스허브GS타워,서울,강남구,서울 강남구 논현로 516 (역삼동),1784,1744,0,1,0,1,0,1,37.50270829999999,127.03639560000000
16,SK에너지,대동석유 압구정주유소,서울,강남구,서울 강남구 언주로 842 (신사동),1797,1737,1,1,0,0,0,1,37.52534310000000,127.03382420000000
